Sales Order,Sales Above or Below Average,Sales (m),Sales,Draw Number,Draw Day,Draw Type,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Jackpot Winning Tickets,Total Winners (m),Total Winners,Number of Winners Above or Below Average
34,Below Average,32.285053,32285053,1209,Tuesday,Weekday (Tues),23-Apr-19,18  23  27  42  44  -  02  07,38.254645,38254645,1,Yes (1),Yes (Single Ticket),1,1.406675,1406675,Below Average
35,Below Average,32.32983,32329830,1029,Tuesday,Weekday (Tues),01-Aug-17,14  21  24  29  30  -  08  10,15.2082,15208200,0,No,No,0,1.316448,1316448,Below Average
36,Below Average,32.473241,32473241,1235,Tuesday,Weekday (Tues),23-Jul-19,1  14  19  23  38  -  03  07,15.2541,15254100,0,No,No,0,1.453208,1453208,Below Average
37,Below Average,32.579553,32579553,967,Tuesday,Weekday (Tues),27-Dec-16,3  22  25  32  39  -  07  12,21.534783,21534783,1,Yes (1),Yes (Single Ticket),1,1.291565,1291565,Below Average
38,Below Average,32.65944,32659440,1037,Tuesday,Weekday (Tues),29-Aug-17,4  12  15  32  38  -  01  05,15.7675,15767500,0,No,No,0,1.270407,1270407,Below Average
39,Below Average,32.66444,32664440,1289,Tuesday,Weekday (Tues),28-Jan-20,1  19  27  31  38  -  04  05,14.4092,14409200,0,No,No,0,1.398506,1398506,Below Average
40,Below Average,32.66667,32666670,959,Tuesday,Weekday (Tues),29-Nov-16,21  26  27  28  38  -  09  11,14.4942,14494200,0,No,No,0,1.332834,1332834,Below Average
41,Below Average,32.677246,32677246,1199,Tuesday,Weekday (Tues),19-Mar-19,1  6  9  34  47  -  07  12,14.552,14552000,0,No,No,0,1.27648,1276480,Below Average
42,Below Average,32.774493,32774493,991,Tuesday,Weekday (Tues),21-Mar-17,1  20  23  44  47  -  04  11,21.81829,21818290,0,No,No,0,1.242536,1242536,Below Average
43,Below Average,32.820289,32820289,1101,Tuesday,Weekday (Tues),10-Apr-18,14  27  39  46  48  -  11  12,14.8291,14829100,1,Yes (1),Yes (Single Ticket),1,1.150268,1150268,Below Average
44,Below Average,32.932697,32932697,1121,Tuesday,Weekday (Tues),19-Jun-18,7  19  26  42  50  -  04  09,31.80904,31809040,1,Yes (1),Yes (Single Ticket),1,1.406546,1406546,Below Average
45,Below Average,32.967296,32967296,969,Tuesday,Weekday (Tues),03-Jan-17,19  23  27  34  49  -  01  11,21.591336,21591336,0,No,No,0,1.40692,1406920,Below Average
46,Below Average,33.089651,33089651,1039,Tuesday,Weekday (Tues),05-Sep-17,6  9  18  28  29  -  01  09,15.5601,15560100,0,No,No,0,1.450942,1450942,Below Average
47,Below Average,33.093736,33093736,1111,Tuesday,Weekday (Tues),15-May-18,4  16  20  31  39  -  02  12,22.065747,22065747,0,No,No,0,1.249694,1249694,Below Average
48,Below Average,33.102563,33102563,1287,Tuesday,Weekday (Tues),21-Jan-20,10  11  24  36  46  -  03  05,14.4636,14463600,0,No,No,0,1.332112,1332112,Below Average
