Ball,Overall,inJackpots,Group
1,50,12,White
2,55,15,White
3,49,15,White
4,54,9,White
5,51,10,White
6,44,5,White
7,52,8,White
8,66,9,White
9,47,9,White
10,55,11,Blue
11,63,10,Blue
12,47,7,Blue
13,48,8,Blue
14,56,9,Blue
15,44,10,Blue
16,53,11,Blue
17,50,12,Blue
18,53,2,Blue
19,59,12,Blue
20,57,11,Pink
21,44,8,Pink
22,53,5,Pink
23,55,8,Pink
24,43,5,Pink
25,55,9,Pink
26,56,8,Pink
27,60,13,Pink
28,47,9,Pink
29,57,5,Pink
30,50,6,Green
31,57,15,Green
32,58,9,Green
33,45,10,Green
34,57,5,Green
35,60,6,Green
36,59,9,Green
37,60,10,Green
38,58,7,Green
39,57,9,Green
40,59,4,Yellow
41,60,6,Yellow
42,63,11,Yellow
43,51,12,Yellow
44,50,7,Yellow
45,62,7,Yellow
46,59,9,Yellow
47,62,6,Yellow
48,41,5,Yellow
49,55,8,Yellow
50,49,5,Purple
51,55,6,Purple
52,69,8,Purple
53,48,5,Purple
54,68,9,Purple
55,64,8,Purple
56,57,5,Purple
57,49,6,Purple
58,67,4,Purple
59,56,10,Purple
