Draw Number,Sales for,Draw Day,Time,Balls,Jackpot Size (m),Jackpot Size,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners,Total Winners (thousands),Number of Winners Above or Below Average
2562,Saturdays,Saturday,11-Jul-20,9  10  14  17  32  58  -  22,7.548573,7548573,21.705782,21705782,Above,0,No,123467,123.467,Above
2561,Wednesdays,Wednesday,08-Jul-20,5  18  22  31  50  59  -  30,5.423577,5423577,13.760122,13760122,Below,0,No,66159,66.159,Below
2560,Saturdays,Saturday,04-Jul-20,32  33  34  48  52  57  -  13,4.076461,4076461,21.21002,21210020,Above,0,No,77019,77.019,Below
2559,Wednesdays,Wednesday,01-Jul-20,1  8  24  27  29  55  -  4,2,2000000,12.7,12700000,Below,0,No,85868,85.868,Below
2558,Saturdays,Saturday,27-Jun-20,2  15  19  33  37  43  -  12,7.5,7500000,21,21000000,Above,2,Yes (2),161999,161.999,Above
2557,Wednesdays,Wednesday,24-Jun-20,1  8  33  50  52  57  -  41,12.867635,12867635,19.458018,19458018,Above,0,No,78964,78.964,Below
2556,Saturdays,Saturday,20-Jun-20,7  21  26  30  40  48  -  13,10.962695,10962695,23.056916,23056916,Above,0,No,150677,150.677,Above
2555,Wednesdays,Wednesday,17-Jun-20,2  9  33  39  48  54  -  43,8.705423,8705423,14.810818,14810818,Below,0,No,72076,72.076,Below
2554,Saturdays,Saturday,13-Jun-20,10  12  19  21  35  51  -  42,7.255444,7255444,21.429274,21429274,Above,0,No,123582,123.582,Above
2553,Wednesdays,Wednesday,10-Jun-20,20  26  50  51  55  57  -  40,5.157518,5157518,13.866374,13866374,Below,0,No,46500,46.5,Below
2552,Saturdays,Saturday,06-Jun-20,3  6  12  17  35  40  -  33,3.8,3800000,21,21000000,Above,0,No,159762,159.762,Above
2551,Wednesdays,Wednesday,03-Jun-20,1  2  5  11  14  33  -  48,2,2000000,12.7,12700000,Below,1,Yes (1),124014,124.014,Above
2550,Saturdays,Saturday,30-May-20,2  6  8  32  33  35  -  45,7.484179,7484179,21.96759,21967590,Above,1,Yes (1),135202,135.202,Above
2549,Wednesdays,Wednesday,27-May-20,4  7  19  23  34  38  -  46,5.333552,5333552,13.487844,13487844,Below,0,No,111687,111.687,Above
