Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Above or Below Average,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners (m),Total Winners,Number of Winners Above or Below Average,Averages,Average
1134,Friday,Fridays,03-Aug-18,7  26  36  38  43  -  06  12,61.780382,61780382,Above,51.928725,51928725,Above,0,No,1.880805,1880805,Below,Sales Only,Jackpot + Sales Above
1133,Tuesday,Tuesdays,31-Jul-18,20  25  34  42  45  -  06  11,50.637585,50637585,Below,37.736184,37736184,Below,0,No,1.315082,1315082,Below,Both Below,All Below
1132,Friday,Fridays,27-Jul-18,11  17  22  23  41  -  06  11,42.386533,42386533,Below,47.960699,47960699,Below,0,No,2.07696,2076960,Above,Wins Only,Wins Only
1131,Tuesday,Tuesdays,24-Jul-18,2  4  23  39  40  -  03  09,32.023423,32023423,Below,33.278241,33278241,Below,0,No,1.30674,1306740,Below,Both Below,All Below
1130,Friday,Fridays,20-Jul-18,2  15  40  43  46  -  03  06,24.941396,24941396,Below,45.14767,45147670,Below,0,No,1.527054,1527054,Below,Both Below,All Below
1129,Tuesday,Tuesdays,17-Jul-18,4  6  27  48  50  -  01  11,15.1266,15126600,Below,31.195213,31195213,Below,0,No,1.200506,1200506,Below,Both Below,All Below
1128,Friday,Fridays,13-Jul-18,1  4  14  21  49  -  02  12,15.0212,15021200,Below,55.763055,55763055,Above,1,Yes (1),2.220359,2220359,Above,Both Above,Sales + Wins Above
1127,Tuesday,Tuesdays,10-Jul-18,3  8  26  33  45  -  07  10,57.975368,57975368,Above,38.076355,38076355,Below,1,Yes (1),1.519567,1519567,Below,Both Below,Jackpot Only
1126,Friday,Fridays,06-Jul-18,8  30  33  38  48  -  02  10,49.801491,49801491,Below,49.316109,49316109,Above,0,No,1.785443,1785443,Below,Sales Only,Sales Only
1125,Tuesday,Tuesdays,03-Jul-18,1  12  15  29  48  -  03  05,39.091736,39091736,Below,34.597435,34597435,Below,0,No,1.440795,1440795,Below,Both Below,All Below
1124,Friday,Fridays,29-Jun-18,15  21  23  40  48  -  03  12,31.647298,31647298,Below,45.487133,45487133,Below,0,No,1.718327,1718327,Below,Both Below,All Below
1123,Tuesday,Tuesdays,26-Jun-18,15  16  20  34  50  -  04  07,21.730843,21730843,Below,31.244183,31244183,Below,0,No,1.191611,1191611,Below,Both Below,All Below
1122,Friday,Fridays,22-Jun-18,14  25  39  41  44  -  02  08,14.96,14960000,Below,42.254955,42254955,Below,0,No,1.598189,1598189,Below,Both Below,All Below
1121,Tuesday,Tuesdays,19-Jun-18,7  19  26  42  50  -  04  09,31.80904,31809040,Below,32.932697,32932697,Below,1,Yes (1),1.406546,1406546,Below,Both Below,All Below
1120,Friday,Fridays,15-Jun-18,23  26  33  38  49  -  01  12,24.560828,24560828,Below,44.849669,44849669,Below,0,No,1.689714,1689714,Below,Both Below,All Below
1119,Tuesday,Tuesdays,12-Jun-18,7  21  23  36  38  -  06  08,14.9549,14954900,Below,31.799224,31799224,Below,0,No,1.372593,1372593,Below,Both Below,All Below
1118,Friday,Fridays,08-Jun-18,8  19  32  43  46  -  02  08,14.9311,14931100,Below,46.289749,46289749,Below,1,Yes (1),1.758722,1758722,Below,Both Below,All Below
1117,Tuesday,Tuesdays,05-Jun-18,9  15  22  39  46  -  04  05,14.8869,14886900,Below,31.989495,31989495,Below,1,Yes (1),1.251307,1251307,Below,Both Below,All Below
1116,Friday,Fridays,01-Jun-18,17  18  24  29  40  -  04  05,34.972315,34972315,Below,56.867232,56867232,Above,2,Yes (2),2.1893,2189300,Above,Both Above,Sales + Wins Above
1115,Tuesday,Tuesdays,29-May-18,6  11  20  38  43  -  02  04,57.637756,57637756,Above,36.294949,36294949,Below,0,No,1.41862,1418620,Below,Both Below,Jackpot Only
1114,Friday,Fridays,25-May-18,13  15  16  28  41  -  04  05,50.089464,50089464,Below,49.788887,49788887,Above,0,No,2.043436,2043436,Above,Both Above,Sales + Wins Above
1113,Tuesday,Tuesdays,22-May-18,1  11  37  41  48  -  08  12,39.384424,39384424,Below,33.356636,33356636,Below,0,No,1.146279,1146279,Below,Both Below,All Below
1112,Friday,Fridays,18-May-18,5  8  10  13  31  -  03  06,32.04007,32040070,Below,46.596523,46596523,Below,0,No,2.261817,2261817,Above,Wins Only,Wins Only
1111,Tuesday,Tuesdays,15-May-18,4  16  20  31  39  -  02  12,22.065747,22065747,Below,33.093736,33093736,Below,0,No,1.249694,1249694,Below,Both Below,All Below
1110,Friday,Fridays,11-May-18,3  22  34  49  50  -  08  11,15.0042,15004200,Below,44.639668,44639668,Below,0,No,1.639292,1639292,Below,Both Below,All Below
1109,Tuesday,Tuesdays,08-May-18,17  25  35  39  44  -  02  05,39.948586,39948586,Below,34.993771,34993771,Below,1,Yes (1),1.393834,1393834,Below,Both Below,All Below
1108,Friday,Fridays,04-May-18,6  12  23  39  45  -  09  12,32.659632,32659632,Below,49.998889,49998889,Above,0,No,1.985723,1985723,Above,Both Above,Sales + Wins Above
1107,Tuesday,Tuesdays,01-May-18,6  15  17  42  48  -  04  06,21.805469,21805469,Below,31.550321,31550321,Below,0,No,1.261262,1261262,Below,Both Below,All Below
1106,Friday,Fridays,27-Apr-18,12  24  40  41  46  -  05  12,14.9583,14958300,Below,48.050999,48050999,Below,0,No,1.656108,1656108,Below,Both Below,All Below
1105,Tuesday,Tuesdays,24-Apr-18,20  23  28  30  44  -  03  07,121.328187,121328187,Above,56.519901,56519901,Above,1,Yes (1),2.438901,2438901,Above,Both Above,All Above
1104,Friday,Fridays,20-Apr-18,3  16  25  39  44  -  07  11,114.01,114010000,Above,87.011065,87011065,Above,0,No,3.388585,3388585,Above,Both Above,All Above
1103,Tuesday,Tuesdays,17-Apr-18,15  27  33  39  50  -  04  06,22.289222,22289222,Below,34.994084,34994084,Below,0,No,1.37185,1371850,Below,Both Below,All Below
1102,Friday,Fridays,13-Apr-18,5  25  34  48  50  -  06  07,14.7407,14740700,Below,59.903706,59903706,Above,0,No,2.24251,2242510,Above,Both Above,Sales + Wins Above
1101,Tuesday,Tuesdays,10-Apr-18,14  27  39  46  48  -  11  12,14.8291,14829100,Below,32.820289,32820289,Below,1,Yes (1),1.150268,1150268,Below,Both Below,All Below
1100,Friday,Fridays,06-Apr-18,1  29  33  45  47  -  04  08,66.429609,66429609,Above,54.278924,54278924,Above,1,Yes (1),1.963713,1963713,Above,Both Above,All Above
1099,Tuesday,Tuesdays,03-Apr-18,3  8  16  40  43  -  05  08,59.156133,59156133,Above,36.484727,36484727,Below,0,No,1.489813,1489813,Below,Both Below,Jackpot Only
1098,Friday,Fridays,30-Mar-18,12  17  28  35  47  -  07  11,51.598288,51598288,Below,50.354219,50354219,Above,0,No,2.04722,2047220,Above,Both Above,Sales + Wins Above
1097,Tuesday,Tuesdays,27-Mar-18,17  20  23  40  46  -  09  10,40.629122,40629122,Below,36.012598,36012598,Below,0,No,1.389696,1389696,Below,Both Below,All Below
1096,Friday,Fridays,23-Mar-18,5  7  11  46  50  -  08  11,32.771739,32771739,Below,48.699208,48699208,Above,0,No,2.047673,2047673,Above,Both Above,Sales + Wins Above
1095,Tuesday,Tuesdays,20-Mar-18,26  29  37  39  44  -  09  11,22.265427,22265427,Below,34.183462,34183462,Below,0,No,1.235335,1235335,Below,Both Below,All Below
1094,Friday,Fridays,16-Mar-18,4  17  24  27  31  -  10  11,14.9923,14992300,Below,47.945015,47945015,Below,0,No,2.115414,2115414,Above,Wins Only,Wins Only
1093,Tuesday,Tuesdays,13-Mar-18,9  11  13  33  49  -  06  12,54.643467,54643467,Above,41.132504,41132504,Below,1,Yes (1),1.814174,1814174,Below,Both Below,Jackpot Only
1092,Friday,Fridays,09-Mar-18,9  14  21  32  44  -  01  12,45.846428,45846428,Below,53.794208,53794208,Above,0,No,2.16522,2165220,Above,Both Above,Sales + Wins Above
1091,Tuesday,Tuesdays,06-Mar-18,15  20  26  31  44  -  02  09,34.392263,34392263,Below,38.486526,38486526,Below,0,No,1.498742,1498742,Below,Both Below,All Below
1090,Friday,Fridays,02-Mar-18,2  7  34  45  48  -  01  12,26.096672,26096672,Below,50.393853,50393853,Above,0,No,1.78756,1787560,Below,Sales Only,Sales Only
1089,Tuesday,Tuesdays,27-Feb-18,3  31  41  48  50  -  08  11,14.9566,14956600,Below,36.039929,36039929,Below,0,No,1.198209,1198209,Below,Both Below,All Below
1088,Friday,Fridays,23-Feb-18,10  17  18  28  47  -  03  07,77.798898,77798898,Above,107.672589,107672589,Above,2,Yes (2),4.784728,4784728,Above,Both Above,All Above
1087,Tuesday,Tuesdays,20-Feb-18,6  14  19  25  29  -  05  11,142.157622,142157622,Above,69.032238,69032238,Above,0,No,2.948168,2948168,Above,Both Above,All Above
1086,Friday,Fridays,16-Feb-18,10  12  23  32  50  -  04  10,133.365227,133365227,Above,79.640508,79640508,Above,0,No,3.342643,3342643,Above,Both Above,All Above
1085,Tuesday,Tuesdays,13-Feb-18,10  13  17  21  44  -  01  10,123.305866,123305866,Above,60.242902,60242902,Above,0,No,2.691672,2691672,Above,Both Above,All Above
1084,Friday,Fridays,09-Feb-18,22  31  36  38  44  -  01  11,114.539544,114539544,Above,76.7658,76765800,Above,0,No,2.74071,2740710,Above,Both Above,All Above
1083,Tuesday,Tuesdays,06-Feb-18,8  17  28  34  38  -  06  12,104.423108,104423108,Above,58.246284,58246284,Above,0,No,2.34457,2344570,Above,Both Above,All Above
1082,Friday,Fridays,02-Feb-18,14  34  36  39  48  -  02  03,95.972671,95972671,Above,68.582951,68582951,Above,0,No,2.36302,2363020,Above,Both Above,All Above
1081,Tuesday,Tuesdays,30-Jan-18,11  15  21  27  35  -  04  05,86.173606,86173606,Above,46.951741,46951741,Below,0,No,2.039844,2039844,Above,Wins Only,Jackpot + Wins Above
1080,Friday,Fridays,26-Jan-18,6  15  24  28  48  -  04  09,79.917041,79917041,Above,60.010714,60010714,Above,0,No,2.45856,2458560,Above,Both Above,All Above
1079,Tuesday,Tuesdays,23-Jan-18,5  8  9  23  24  -  07  08,71.872851,71872851,Above,43.817393,43817393,Below,0,No,2.08347,2083470,Above,Wins Only,Jackpot + Wins Above
1078,Friday,Fridays,19-Jan-18,3  8  17  44  50  -  02  07,66.212715,66212715,Above,56.767035,56767035,Above,0,No,2.439159,2439159,Above,Both Above,All Above
1077,Tuesday,Tuesdays,16-Jan-18,20  23  31  34  46  -  03  12,54.434216,54434216,Above,41.235007,41235007,Below,0,No,1.446248,1446248,Below,Both Below,Jackpot Only
1076,Friday,Fridays,12-Jan-18,13  21  23  30  45  -  04  06,45.394452,45394452,Below,54.314232,54314232,Above,0,No,2.352349,2352349,Above,Both Above,Sales + Wins Above
1075,Tuesday,Tuesdays,09-Jan-18,6  12  15  38  49  -  02  09,33.484288,33484288,Below,36.87215,36872150,Below,0,No,1.484442,1484442,Below,Both Below,All Below
1074,Friday,Fridays,05-Jan-18,2  5  20  38  41  -  04  08,25.687589,25687589,Below,48.995782,48995782,Above,0,No,1.865975,1865975,Below,Sales Only,Sales Only
1073,Tuesday,Tuesdays,02-Jan-18,10  20  21  28  48  -  01  08,15.0841,15084100,Below,32.063846,32063846,Below,0,No,1.318113,1318113,Below,Both Below,All Below
1072,Friday,Fridays,29-Dec-17,4  8  22  23  48  -  01  12,34.588069,34588069,Below,58.400002,58400002,Above,1,Yes (1),2.383562,2383562,Above,Both Above,Sales + Wins Above
1071,Tuesday,Tuesdays,26-Dec-17,4  17  30  43  44  -  02  10,21.951423,21951423,Below,31.7302,31730200,Below,0,No,1.229515,1229515,Below,Both Below,All Below
1070,Friday,Fridays,22-Dec-17,5  24  30  31  43  -  03  06,15.0892,15089200,Below,52.767727,52767727,Above,0,No,2.053002,2053002,Above,Both Above,Sales + Wins Above
1069,Tuesday,Tuesdays,19-Dec-17,8  15  30  38  46  -  04  07,119.876081,119876081,Above,58.502723,58502723,Above,1,Yes (1),2.26227,2262270,Above,Both Above,All Above
1068,Friday,Fridays,15-Dec-17,25  30  31  42  50  -  02  11,111.674784,111674784,Above,71.777263,71777263,Above,0,No,2.584531,2584531,Above,Both Above,All Above
1067,Tuesday,Tuesdays,12-Dec-17,20  37  39  44  50  -  04  08,101.93867,101938670,Above,53.927592,53927592,Above,0,No,1.936888,1936888,Below,Sales Only,Jackpot + Sales Above
1066,Friday,Fridays,08-Dec-17,4  22  30  32  34  -  03  04,94.304641,94304641,Above,63.802103,63802103,Above,0,No,2.433777,2433777,Above,Both Above,All Above
1065,Tuesday,Tuesdays,05-Dec-17,11  36  43  44  48  -  02  07,85.788778,85788778,Above,48.012341,48012341,Below,0,No,1.723362,1723362,Below,Both Below,Jackpot Only
1064,Friday,Fridays,01-Dec-17,5  24  29  35  46  -  11  12,79.577293,79577293,Above,59.454221,59454221,Above,0,No,2.140051,2140051,Above,Both Above,All Above
1063,Tuesday,Tuesdays,28-Nov-17,1  6  12  18  42  -  02  07,71.866782,71866782,Above,42.477656,42477656,Below,0,No,1.814149,1814149,Below,Both Below,Jackpot Only
1062,Friday,Fridays,24-Nov-17,19  24  28  30  50  -  03  10,66.743323,66743323,Above,55.852301,55852301,Above,0,No,2.211231,2211231,Above,Both Above,All Above
1061,Tuesday,Tuesdays,21-Nov-17,2  10  14  28  31  -  05  07,54.215274,54215274,Above,38.699238,38699238,Below,0,No,1.713051,1713051,Below,Both Below,Jackpot Only
1060,Friday,Fridays,17-Nov-17,20  26  35  36  42  -  05  12,46.135062,46135062,Below,54.424586,54424586,Above,0,No,1.826757,1826757,Below,Sales Only,Sales Only
1059,Tuesday,Tuesdays,14-Nov-17,14  16  39  40  41  -  08  10,34.502478,34502478,Below,36.019661,36019661,Below,0,No,1.217911,1217911,Below,Both Below,All Below
1058,Friday,Fridays,10-Nov-17,13  22  29  36  37  -  01  09,26.361644,26361644,Below,52.423351,52423351,Above,0,No,2.109365,2109365,Above,Both Above,Sales + Wins Above
1057,Tuesday,Tuesdays,07-Nov-17,7  19  20  37  41  -  02  12,14.9702,14970200,Below,35.221957,35221957,Below,0,No,1.402281,1402281,Below,Both Below,All Below
1056,Friday,Fridays,03-Nov-17,5  12  17  33  41  -  04  09,25.476778,25476778,Below,48.106379,48106379,Below,1,Yes (1),2.09293,2092930,Above,Wins Only,Wins Only
1055,Tuesday,Tuesdays,31-Oct-17,1  12  36  43  46  -  03  05,14.9192,14919200,Below,34.278913,34278913,Below,0,No,1.218701,1218701,Below,Both Below,All Below
1054,Friday,Fridays,27-Oct-17,3  16  23  32  39  -  01  04,15.011,15011000,Below,47.807162,47807162,Below,1,Yes (1),1.937446,1937446,Below,Both Below,All Below
1053,Tuesday,Tuesdays,24-Oct-17,9  11  13  27  33  -  07  10,58.670142,58670142,Above,40.519016,40519016,Below,1,Yes (1),1.944447,1944447,Below,Both Below,Jackpot Only
1052,Friday,Fridays,20-Oct-17,4  17  23  27  30  -  03  08,49.71213,49712130,Below,54.816456,54816456,Above,0,No,2.536013,2536013,Above,Both Above,Sales + Wins Above
1051,Tuesday,Tuesdays,17-Oct-17,13  17  19  26  36  -  02  03,37.871775,37871775,Below,38.276455,38276455,Below,0,No,1.658729,1658729,Below,Both Below,All Below
1050,Friday,Fridays,13-Oct-17,23  29  37  45  50  -  05  11,29.491384,29491384,Below,66.495762,66495762,Above,0,No,2.398435,2398435,Above,Both Above,Sales + Wins Above
1049,Tuesday,Tuesdays,10-Oct-17,4  21  34  36  37  -  03  06,15.2099,15209900,Below,38.139517,38139517,Below,0,No,1.351736,1351736,Below,Both Below,All Below
1048,Friday,Fridays,06-Oct-17,1  9  15  19  25  -  01  07,170.81,170810000,Above,120.003558,120003558,Above,1,Yes (1),5.17543,5175430,Above,Both Above,All Above
1047,Tuesday,Tuesdays,03-Oct-17,6  24  32  48  50  -  01  05,168.701,168701000,Above,97.979161,97979161,Above,0,No,3.589379,3589379,Above,Both Above,All Above
1046,Friday,Fridays,29-Sep-17,7  18  19  32  48  -  03  07,157.898325,157898325,Above,100.144727,100144727,Above,0,No,4.295675,4295675,Above,Both Above,All Above
1045,Tuesday,Tuesdays,26-Sep-17,1  29  40  41  48  -  06  12,143.626132,143626132,Above,70.998122,70998122,Above,0,No,2.397407,2397407,Above,Both Above,All Above
1044,Friday,Fridays,22-Sep-17,6  11  31  39  42  -  01  03,134.911784,134911784,Above,86.188913,86188913,Above,0,No,3.324206,3324206,Above,Both Above,All Above
1043,Tuesday,Tuesdays,19-Sep-17,1  8  21  30  45  -  02  03,123.904174,123904174,Above,62.697585,62697585,Above,0,No,2.439497,2439497,Above,Both Above,All Above
1042,Friday,Fridays,15-Sep-17,13  18  37  44  49  -  09  12,114.504,114504000,Above,94.883433,94883433,Above,0,No,3.662037,3662037,Above,Both Above,All Above
1041,Tuesday,Tuesdays,12-Sep-17,10  17  27  29  35  -  04  11,33.717075,33717075,Below,37.221319,37221319,Below,0,No,1.591627,1591627,Below,Both Below,All Below
1040,Friday,Fridays,08-Sep-17,9  24  42  47  49  -  01  05,25.993675,25993675,Below,48.571184,48571184,Below,0,No,1.718948,1718948,Below,Both Below,All Below
1039,Tuesday,Tuesdays,05-Sep-17,6  9  18  28  29  -  01  09,15.5601,15560100,Below,33.089651,33089651,Below,0,No,1.450942,1450942,Below,Both Below,All Below
1038,Friday,Fridays,01-Sep-17,3  7  8  14  49  -  05  08,25.914013,25914013,Below,47.871823,47871823,Below,1,Yes (1),2.155272,2155272,Above,Wins Only,Wins Only
1037,Tuesday,Tuesdays,29-Aug-17,4  12  15  32  38  -  01  05,15.7675,15767500,Below,32.65944,32659440,Below,0,No,1.270407,1270407,Below,Both Below,All Below
1036,Friday,Fridays,25-Aug-17,1  5  7  15  47  -  09  12,15.7352,15735200,Below,46.483129,46483129,Below,1,Yes (1),1.929665,1929665,Below,Both Below,All Below
1035,Tuesday,Tuesdays,22-Aug-17,3  10  12  17  27  -  03  05,40.510685,40510685,Below,36.185729,36185729,Below,1,Yes (1),1.783982,1783982,Below,Both Below,All Below
1034,Friday,Fridays,18-Aug-17,2  24  39  42  45  -  02  08,32.520149,32520149,Below,48.038279,48038279,Below,0,No,1.703336,1703336,Below,Both Below,All Below
1033,Tuesday,Tuesdays,15-Aug-17,10  14  30  35  46  -  04  10,22.117219,22117219,Below,30.577404,30577404,Below,0,No,1.085088,1085088,Below,Both Below,All Below
1032,Friday,Fridays,11-Aug-17,18  28  39  46  48  -  05  12,15.4496,15449600,Below,45.714168,45714168,Below,0,No,1.513516,1513516,Below,Both Below,All Below
1031,Tuesday,Tuesdays,08-Aug-17,15  25  26  40  41  -  04  05,33.089644,33089644,Below,34.844789,34844789,Below,1,Yes (1),1.255276,1255276,Below,Both Below,All Below
1030,Friday,Fridays,04-Aug-17,29  30  36  40  41  -  02  09,25.529274,25529274,Below,47.058676,47058676,Below,0,No,1.540568,1540568,Below,Both Below,All Below
1029,Tuesday,Tuesdays,01-Aug-17,14  21  24  29  30  -  08  10,15.2082,15208200,Below,32.32983,32329830,Below,0,No,1.316448,1316448,Below,Both Below,All Below
1028,Friday,Fridays,28-Jul-17,5  9  29  31  41  -  02  04,51.70205,51702050,Below,52.386348,52386348,Above,1,Yes (1),2.093024,2093024,Above,Both Above,Sales + Wins Above
1027,Tuesday,Tuesdays,25-Jul-17,12  14  43  44  48  -  02  11,40.445365,40445365,Below,35.780356,35780356,Below,0,No,1.274007,1274007,Below,Both Below,All Below
1026,Friday,Fridays,21-Jul-17,1  8  9  26  49  -  05  09,32.874047,32874047,Below,47.706993,47706993,Below,0,No,1.974484,1974484,Above,Wins Only,Wins Only
1025,Tuesday,Tuesdays,18-Jul-17,1  25  27  41  45  -  05  07,22.265567,22265567,Below,33.279015,33279015,Below,0,No,1.279792,1279792,Below,Both Below,All Below
1024,Friday,Fridays,14-Jul-17,11  14  20  21  47  -  07  10,14.9005,14900500,Below,44.558018,44558018,Below,0,No,1.85222,1852220,Below,Both Below,All Below
1023,Tuesday,Tuesdays,11-Jul-17,14  22  26  42  50  -  08  10,15.1895,15189500,Below,33.406521,33406521,Below,1,Yes (1),1.24581,1245810,Below,Both Below,All Below
1022,Friday,Fridays,07-Jul-17,11  20  35  37  45  -  03  06,25.663715,25663715,Below,49.105625,49105625,Above,1,Yes (1),1.802973,1802973,Below,Sales Only,Sales Only
1021,Tuesday,Tuesdays,04-Jul-17,10  22  25  37  49  -  05  08,14.943,14943000,Below,33.812645,33812645,Below,0,No,1.395314,1395314,Below,Both Below,All Below
1020,Friday,Fridays,30-Jun-17,17  35  39  47  50  -  06  08,87.57,87570000,Above,83.170005,83170005,Above,1,Yes (1),3.057357,3057357,Above,Both Above,All Above
1019,Tuesday,Tuesdays,27-Jun-17,9  17  21  28  45  -  01  03,70.127201,70127201,Above,42.245303,42245303,Below,0,No,1.833319,1833319,Below,Both Below,Jackpot Only
1018,Friday,Fridays,23-Jun-17,3  4  21  31  38  -  03  07,64.0821,64082100,Above,53.487663,53487663,Above,0,No,2.286,2286000,Above,Both Above,All Above
1017,Tuesday,Tuesdays,20-Jun-17,11  18  26  43  44  -  08  10,52.594374,52594374,Below,37.716154,37716154,Below,0,No,1.469998,1469998,Below,Both Below,All Below
1016,Friday,Fridays,16-Jun-17,15  17  38  41  42  -  09  12,44.150291,44150291,Below,49.857736,49857736,Above,0,No,1.812191,1812191,Below,Sales Only,Sales Only
1015,Tuesday,Tuesdays,13-Jun-17,3  12  22  27  49  -  04  11,33.506785,33506785,Below,36.307641,36307641,Below,0,No,1.59142,1591420,Below,Both Below,All Below
1014,Friday,Fridays,09-Jun-17,9  20  27  39  43  -  10  11,25.684767,25684767,Below,49.659572,49659572,Above,0,No,1.954684,1954684,Above,Both Above,Sales + Wins Above
1013,Tuesday,Tuesdays,06-Jun-17,20  22  25  37  40  -  03  07,14.8665,14866500,Below,34.324989,34324989,Below,0,No,1.364809,1364809,Below,Both Below,All Below
1012,Friday,Fridays,02-Jun-17,8  10  24  33  42  -  03  09,134.808762,134808762,Above,90.27707,90277070,Above,1,Yes (1),3.819434,3819434,Above,Both Above,All Above
1011,Tuesday,Tuesdays,30-May-17,7  12  27  38  48  -  06  09,121.851562,121851562,Above,64.064166,64064166,Above,0,No,2.775316,2775316,Above,Both Above,All Above
1010,Friday,Fridays,26-May-17,5  7  26  36  39  -  02  10,113.47596,113475960,Above,75.577708,75577708,Above,0,No,3.104158,3104158,Above,Both Above,All Above
1009,Tuesday,Tuesdays,23-May-17,8  15  25  27  42  -  01  04,102.10143,102101430,Above,58.44828,58448280,Above,0,No,2.488406,2488406,Above,Both Above,All Above
1008,Friday,Fridays,19-May-17,9  11  12  19  30  -  04  09,93.927013,93927013,Above,70.44166,70441660,Above,0,No,3.441077,3441077,Above,Both Above,All Above
1007,Tuesday,Tuesdays,16-May-17,8  11  15  20  30  -  03  08,84.319251,84319251,Above,48.559511,48559511,Below,0,No,2.211257,2211257,Above,Wins Only,Jackpot + Wins Above
1006,Friday,Fridays,12-May-17,2  20  28  29  44  -  03  09,76.813393,76813393,Above,59.292902,59292902,Above,0,No,2.481359,2481359,Above,Both Above,All Above
1005,Tuesday,Tuesdays,09-May-17,8  12  16  22  26  -  06  07,68.249429,68249429,Above,41.102401,41102401,Below,0,No,1.948255,1948255,Below,Both Below,Jackpot Only
1004,Friday,Fridays,05-May-17,3  7  30  35  43  -  01  03,63.162406,63162406,Above,53.198136,53198136,Above,0,No,2.235799,2235799,Above,Both Above,All Above
1003,Tuesday,Tuesdays,02-May-17,6  19  23  25  27  -  11  12,55.848627,55848627,Above,33.867144,33867144,Below,0,No,1.59018,1590180,Below,Both Below,Jackpot Only
1002,Friday,Fridays,28-Apr-17,14  20  25  30  39  -  02  08,48.309589,48309589,Below,49.665963,49665963,Above,0,No,2.097399,2097399,Above,Both Above,Sales + Wins Above
1001,Tuesday,Tuesdays,25-Apr-17,9  11  19  32  43  -  03  09,38.059267,38059267,Below,33.879345,33879345,Below,0,No,1.517119,1517119,Below,Both Below,All Below
1000,Friday,Fridays,21-Apr-17,2  13  16  22  49  -  04  05,30.153753,30153753,Below,44.118297,44118297,Below,0,No,1.956983,1956983,Above,Wins Only,Wins Only
999,Tuesday,Tuesdays,18-Apr-17,17  22  31  38  45  -  05  12,20.624201,20624201,Below,29.646765,29646765,Below,0,No,1.159706,1159706,Below,Both Below,All Below
998,Friday,Fridays,14-Apr-17,4  14  20  23  33  -  06  10,14.4228,14422800,Below,41.990323,41990323,Below,0,No,1.896557,1896557,Below,Both Below,All Below
997,Tuesday,Tuesdays,11-Apr-17,5  21  22  31  49  -  02  08,70.887897,70887897,Above,42.469068,42469068,Below,1,Yes (1),1.807549,1807549,Below,Both Below,Jackpot Only
996,Friday,Fridays,07-Apr-17,2  10  19  35  50  -  06  07,65.668144,65668144,Above,53.602954,53602954,Above,0,No,2.23601,2236010,Above,Both Above,All Above
995,Tuesday,Tuesdays,04-Apr-17,1  9  24  33  34  -  02  06,58.513592,58513592,Above,38.815303,38815303,Below,0,No,1.587281,1587281,Below,Both Below,Jackpot Only
994,Friday,Fridays,31-Mar-17,17  24  26  28  45  -  04  12,49.849009,49849009,Below,50.603404,50603404,Above,0,No,2.091174,2091174,Above,Both Above,Sales + Wins Above
993,Tuesday,Tuesdays,28-Mar-17,9  13  31  33  46  -  06  10,39.63035,39630350,Below,35.18912,35189120,Below,0,No,1.437386,1437386,Below,Both Below,All Below
992,Friday,Fridays,24-Mar-17,2  17  21  27  34  -  05  09,31.918888,31918888,Below,46.913486,46913486,Below,0,No,2.114195,2114195,Above,Wins Only,Wins Only
991,Tuesday,Tuesdays,21-Mar-17,1  20  23  44  47  -  04  11,21.81829,21818290,Below,32.774493,32774493,Below,0,No,1.242536,1242536,Below,Both Below,All Below
990,Friday,Fridays,17-Mar-17,6  10  19  29  36  -  03  09,14.7424,14742400,Below,45.567415,45567415,Below,0,No,2.011936,2011936,Above,Wins Only,Wins Only
989,Tuesday,Tuesdays,14-Mar-17,3  5  21  36  44  -  03  06,70.386999,70386999,Above,43.308809,43308809,Below,1,Yes (1),1.79546,1795460,Below,Both Below,Jackpot Only
988,Friday,Fridays,10-Mar-17,31  36  38  47  49  -  08  11,64.931865,64931865,Above,56.928407,56928407,Above,0,No,1.855534,1855534,Below,Sales Only,Jackpot + Sales Above
987,Tuesday,Tuesdays,07-Mar-17,6  37  41  48  50  -  04  05,51.910688,51910688,Below,39.160784,39160784,Below,0,No,1.337835,1337835,Below,Both Below,All Below
986,Friday,Fridays,03-Mar-17,2  11  29  30  47  -  01  12,43.311596,43311596,Below,51.114788,51114788,Above,0,No,2.002357,2002357,Above,Both Above,Sales + Wins Above
985,Tuesday,Tuesdays,28-Feb-17,10  20  31  35  42  -  02  12,31.923442,31923442,Below,33.789459,33789459,Below,0,No,1.278736,1278736,Below,Both Below,All Below
984,Friday,Fridays,24-Feb-17,2  4  13  22  43  -  08  09,24.449171,24449171,Below,46.402645,46402645,Below,0,No,2.061921,2061921,Above,Wins Only,Wins Only
983,Tuesday,Tuesdays,21-Feb-17,13  19  41  45  49  -  03  04,14.3837,14383700,Below,31.245095,31245095,Below,0,No,1.226656,1226656,Below,Both Below,All Below
982,Friday,Fridays,17-Feb-17,19  25  33  36  48  -  02  09,14.5095,14509500,Below,44.987395,44987395,Below,1,Yes (1),1.728805,1728805,Below,Both Below,All Below
981,Tuesday,Tuesdays,14-Feb-17,2  10  24  40  44  -  03  10,19.987961,19987961,Below,36.750157,36750157,Below,2,Yes (2),1.512442,1512442,Below,Both Below,All Below
980,Friday,Fridays,10-Feb-17,7  21  26  35  43  -  02  09,32.204121,32204121,Below,48.428113,48428113,Below,0,No,2.048527,2048527,Above,Wins Only,Wins Only
