Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
72,Below Average,12.7,12700000,2573,Wednesday,Weekday (Wed),19-Aug-20,21  22  32  36  45  50  -  5,2,2000000,0,No,No,52.371,52371,Below Average
73,Below Average,12.7,12700000,2579,Wednesday,Weekday (Wed),09-Sep-20,11  13  33  48  50  56  -  55,2,2000000,0,No,No,55.879,55879,Below Average
74,Below Average,12.7,12700000,2597,Wednesday,Weekday (Wed),11-Nov-20,6  36  46  49  50  59  -  38,2,2000000,0,No,No,50.101,50101,Below Average
75,Below Average,12.7,12700000,2603,Wednesday,Weekday (Wed),02-Dec-20,16  22  26  38  39  47  -  48,2,2000000,0,No,No,71.975,71975,Below Average
76,Below Average,12.716286,12716286,2389,Wednesday,Weekday (Wed),14-Nov-18,4  11  20  45  48  53  -  16,1.928401,1928401,0,No,No,63.86,63860,Below Average
77,Below Average,12.72177,12721770,2267,Wednesday,Weekday (Wed),13-Sep-17,4  11  14  21  29  56  -  27,1.88616,1886160,0,No,No,95.351,95351,Below Average
78,Below Average,12.729604,12729604,2351,Wednesday,Weekday (Wed),04-Jul-18,8  13  22  46  52  58  -  7,6.417197,6417197,0,No,No,53.552,53552,Below Average
79,Below Average,12.78619,12786190,2519,Wednesday,Weekday (Wed),12-Feb-20,2  3  5  27  51  54  -  6,5.051768,5051768,1,Yes (1),Yes (Single Ticket),68.949,68949,Below Average
80,Below Average,12.802502,12802502,2449,Wednesday,Weekday (Wed),12-Jun-19,6  16  34  36  37  53  -  50,5.053365,5053365,0,No,No,55.828,55828,Below Average
81,Below Average,12.811908,12811908,2349,Wednesday,Weekday (Wed),27-Jun-18,4  41  45  54  57  58  -  26,1.899524,1899524,0,No,No,42.259,42259,Below Average
82,Below Average,12.820042,12820042,2385,Wednesday,Weekday (Wed),31-Oct-18,5  14  20  24  28  45  -  21,1.900729,1900729,0,No,No,95.941,95941,Below Average
83,Below Average,12.849174,12849174,2355,Wednesday,Weekday (Wed),18-Jul-18,22  34  44  49  51  53  -  33,5.063895,5063895,0,No,No,47.512,47512,Below Average
84,Below Average,12.87043,12870430,2543,Wednesday,Weekday (Wed),06-May-20,23  29  32  48  49  51  -  13,5.060015,5060015,0,No,No,55.551,55551,Below Average
85,Below Average,12.91144,12911440,2313,Wednesday,Weekday (Wed),21-Feb-18,14  25  29  30  35  53  -  38,1.957996,1957996,0,No,No,62.006,62006,Below Average
86,Below Average,12.925282,12925282,2363,Wednesday,Weekday (Wed),15-Aug-18,3  28  34  41  48  58  -  54,1.960095,1960095,0,No,No,55.865,55865,Below Average
87,Below Average,12.932446,12932446,2315,Wednesday,Weekday (Wed),28-Feb-18,9  10  27  30  33  45  -  29,6.700919,6700919,1,Yes (1),Yes (Single Ticket),98.603,98603,Below Average
88,Below Average,12.942248,12942248,2461,Wednesday,Weekday (Wed),24-Jul-19,2  4  17  28  37  45  -  22,5.067046,5067046,1,Yes (1),Yes (Single Ticket),92.388,92388,Below Average
89,Below Average,12.955924,12955924,2455,Wednesday,Weekday (Wed),03-Jul-19,10  20  27  29  38  52  -  57,5.068385,5068385,0,No,No,65.972,65972,Below Average
90,Below Average,12.95849,12958490,2325,Wednesday,Weekday (Wed),04-Apr-18,1  9  15  26  38  43  -  14,6.664434,6664434,0,No,No,86.373,86373,Below Average
91,Below Average,12.976932,12976932,2253,Wednesday,Weekday (Wed),26-Jul-17,5  10  29  35  55  56  -  30,1.967928,1967928,0,No,No,56.527,56527,Below Average
92,Below Average,12.977344,12977344,2463,Wednesday,Weekday (Wed),31-Jul-19,9  18  20  42  43  46  -  30,5.070482,5070482,0,No,No,72.033,72033,Below Average
93,Below Average,12.981878,12981878,2387,Wednesday,Weekday (Wed),07-Nov-18,4  5  9  40  46  59  -  58,6.645866,6645866,0,No,No,67.665,67665,Below Average
94,Below Average,12.984638,12984638,2427,Wednesday,Weekday (Wed),27-Mar-19,13  18  25  35  39  50  -  21,5.391107,5391107,0,No,No,58.902,58902,Below Average
95,Below Average,12.998856,12998856,2439,Wednesday,Weekday (Wed),08-May-19,16  19  31  35  45  56  -  59,5.656449,5656449,0,No,No,57.843,57843,Below Average
96,Below Average,13.029764,13029764,2279,Wednesday,Weekday (Wed),25-Oct-17,1  3  11  37  49  58  -  21,1.931824,1931824,0,No,No,76.16,76160,Below Average
97,Below Average,13.062534,13062534,2493,Wednesday,Weekday (Wed),13-Nov-19,1  2  7  9  44  55  -  39,5.078822,5078822,0,No,No,96.644,96644,Below Average
98,Below Average,13.067242,13067242,2317,Wednesday,Weekday (Wed),07-Mar-18,8  10  22  37  55  57  -  29,5.120878,5120878,0,No,No,57.618,57618,Below Average
99,Below Average,13.097354,13097354,2433,Wednesday,Weekday (Wed),17-Apr-19,8  23  28  42  43  51  -  52,5.378892,5378892,0,No,No,69.451,69451,Below Average
100,Below Average,13.098542,13098542,2245,Wednesday,Weekday (Wed),28-Jun-17,2  10  21  23  54  56  -  44,1.98637,1986370,0,No,No,64.384,64384,Below Average
101,Below Average,13.112308,13112308,2533,Wednesday,Weekday (Wed),01-Apr-20,4  16  17  22  27  52  -  30,8.061599,8061599,1,Yes (1),Yes (Single Ticket),88.248,88248,Below Average
102,Below Average,13.114116,13114116,2399,Wednesday,Weekday (Wed),19-Dec-18,12  24  33  34  39  56  -  38,5.341733,5341733,0,No,No,58.364,58364,Below Average
103,Below Average,13.135822,13135822,2261,Wednesday,Weekday (Wed),23-Aug-17,8  16  21  41  44  56  -  45,5.372825,5372825,0,No,No,67.559,67559,Below Average
104,Below Average,13.137958,13137958,2305,Wednesday,Weekday (Wed),24-Jan-18,1  22  39  44  48  59  -  5,1.992347,1992347,0,No,No,57.273,57273,Below Average
105,Below Average,13.14416,13144160,2299,Wednesday,Weekday (Wed),03-Jan-18,11  19  20  30  35  49  -  44,5.421027,5421027,0,No,No,86.04,86040,Below Average
106,Below Average,13.16211,13162110,2225,Wednesday,Weekday (Wed),19-Apr-17,4  27  47  54  55  59  -  45,1.951446,1951446,0,No,No,45.662,45662,Below Average
107,Below Average,13.169288,13169288,2255,Wednesday,Weekday (Wed),02-Aug-17,4  6  24  35  45  52  -  8,6.863927,6863927,0,No,No,63.811,63811,Below Average
108,Below Average,13.189212,13189212,2307,Wednesday,Weekday (Wed),31-Jan-18,5  19  21  42  44  57  -  18,6.851294,6851294,0,No,No,77.247,77247,Below Average
109,Below Average,13.21176,13211760,2289,Wednesday,Weekday (Wed),29-Nov-17,20  32  42  43  53  58  -  8,6.649202,6649202,0,No,No,42.868,42868,Below Average
110,Below Average,13.21823,13218230,2381,Wednesday,Weekday (Wed),17-Oct-18,1  5  6  20  51  54  -  56,9.590134,9590134,0,No,No,66.991,66991,Below Average
111,Below Average,13.222514,13222514,2359,Wednesday,Weekday (Wed),01-Aug-18,15  17  18  34  46  54  -  4,6.457803,6457803,0,No,No,57.068,57068,Below Average
112,Below Average,13.225284,13225284,2379,Wednesday,Weekday (Wed),10-Oct-18,10  49  50  53  54  56  -  4,5.382585,5382585,0,No,No,42.21,42210,Below Average
113,Below Average,13.23908,13239080,2469,Wednesday,Weekday (Wed),21-Aug-19,11  14  26  51  53  58  -  30,5.096106,5096106,0,No,No,49.835,49835,Below Average
114,Below Average,13.274586,13274586,2591,Wednesday,Weekday (Wed),21-Oct-20,9  12  27  28  29  44  -  8,5.099582,5099582,0,No,No,117.821,117821,Above Average
115,Below Average,13.274914,13274914,2513,Wednesday,Weekday (Wed),22-Jan-20,19  23  25  29  30  36  -  14,5.34303,5343030,1,Yes (1),Yes (Single Ticket),89.022,89022,Below Average
116,Below Average,13.279642,13279642,2499,Wednesday,Weekday (Wed),04-Dec-19,9  13  21  25  28  31  -  1,5.434036,5434036,0,No,No,116.89,116890,Above Average
117,Below Average,13.283802,13283802,2209,Wednesday,Weekday (Wed),22-Feb-17,1  16  28  31  38  54  -  5,2.014488,2014488,0,No,No,65.661,65661,Below Average
118,Below Average,13.286218,13286218,2321,Wednesday,Weekday (Wed),21-Mar-18,2  35  44  51  54  55  -  45,6.530267,6530267,0,No,No,44.805,44805,Below Average
119,Below Average,13.308846,13308846,2569,Wednesday,Weekday (Wed),05-Aug-20,1  28  42  43  51  58  -  36,5.102936,5102936,0,No,No,48.234,48234,Below Average
120,Below Average,13.354066,13354066,2487,Wednesday,Weekday (Wed),23-Oct-19,5  29  30  39  53  58  -  19,5.107363,5107363,0,No,No,52.717,52717,Below Average
121,Below Average,13.357774,13357774,2407,Wednesday,Weekday (Wed),16-Jan-19,1  12  44  48  54  55  -  8,5.107726,5107726,0,No,No,53.763,53763,Below Average
122,Below Average,13.36424,13364240,2509,Wednesday,Weekday (Wed),08-Jan-20,2  23  42  47  50  59  -  32,5.108359,5108359,0,No,No,53.372,53372,Below Average
123,Below Average,13.386668,13386668,2219,Wednesday,Weekday (Wed),29-Mar-17,5  6  16  32  42  51  -  39,5.597315,5597315,0,No,No,69.225,69225,Below Average
124,Below Average,13.415188,13415188,2475,Wednesday,Weekday (Wed),11-Sep-19,4  9  26  35  38  53  -  30,5.113347,5113347,0,No,No,69.871,69871,Below Average
125,Below Average,13.42099,13420990,2217,Wednesday,Weekday (Wed),22-Mar-17,6  11  12  19  27  31  -  42,1.063276,1063276,3,Yes (3),Yes (Multiple Tickets),120.457,120457,Above Average
