Game,Type,Average Jackpot (m),Average Sales (m)
Lotto,Jackpot (LT),8.443579934,0
Lotto,Sales (LT),0,18.56703239
Euromillions,Jackpot (EM),55.99611713,0
Euromillions,Sales (EM),0,48.62136874
