Jackpot Size,Draw Sales,Jackpot Winners,Runners Up,Tier 1,Tier 2,Tier 3,Total Winners
8866885,15274188,0,0,35,2475,61986,64496
7371542,22540062,0,0,88,7272,155978,163338
5164870,13941470,0,2,44,2879,68937,71862
3800000,21000000,0,0,131,8064,162973,171168
12907599,19036344,0,0,47,3588,90228,93863
11043941,23816180,0,1,62,5211,120207,125481
8712337,14690470,0,2,29,2203,61204,63438
7274140,22071430,0,10,176,9528,170171,179885
5113347,13415188,0,0,44,2687,67140,69871
3800000,21000000,0,3,74,6122,137174,143373
12852503,18321584,0,0,59,3945,94552,98556
11058820,23723228,0,1,54,5390,127657,133102
8736316,14058028,0,0,22,1863,47861,49746
7360035,23124914,0,2,49,3767,95955,99773
5096106,13239080,0,0,30,1897,47908,49835
3800000,21000000,0,1,53,3903,102409,106366
12675909,18535464,0,2,56,4336,98426,102820
10861287,23017610,0,3,420,16369,238272,255064
8607863,14300040,0,1,33,2983,71133,74150
7207889,21832554,0,0,33,3507,92716,96256
5070482,12977344,0,0,41,2835,69157,72033
3800000,21000000,0,0,49,3523,90624,94196
5067046,12942248,1,2,75,4294,88016,92388
3800000,21000000,0,3,83,5719,131060,136865
12500333,17868120,0,1,61,4529,94275,98866
10751044,22868406,0,0,53,3929,101309,105291
8512227,13800786,0,0,39,2708,74602,77349
7161130,21376354,0,1,38,2788,70848,73675
5068385,12955924,0,0,25,2414,63533,65972
3800000,21000000,0,2,46,3765,96897,100710
12497210,17778712,0,1,139,7608,140032,147780
10756674,22917712,0,0,85,6251,133981,140317
8513030,13879744,0,0,44,2468,59976,62488
7154203,21459020,0,1,38,3029,78829,81897
5053365,12802502,0,0,22,2101,53705,55828
3800000,21000000,0,2,62,4093,103253,107410
2000000,12700000,1,0,19,2029,57463,59512
3800000,21000000,1,0,57,4268,100909,105235
2000000,12700000,1,0,55,2601,59262,61919
4085154,21298816,1,3,69,4833,110893,115799
2000000,12700000,0,0,19,2093,62011,64123
11708252,24716374,0,0,68,6144,146795,153007
9288519,14580030,0,1,43,3331,80929,84304
7861134,22519766,0,1,58,3818,100231,104108
5656449,12998856,0,0,30,2169,55644,57843
4383861,24349960,0,1,61,3837,97939,101838
2000000,12700000,0,1,41,2890,70507,73439
11396192,24843392,0,2,57,4125,106172,110356
8964024,14635934,0,2,31,2439,58348,60820
7531166,21984412,0,1,65,6119,147981,154166
5378892,13097354,0,0,35,2590,66826,69451
4096661,21416354,0,2,97,6387,136726,143212
2000000,12700000,0,1,41,2477,60901,63420
11399990,24376722,1,1,103,7094,151326,158525
9013509,14396476,0,4,58,4045,90130,94237
7604094,22604566,0,0,55,3598,91847,95500
5391107,12984638,0,0,45,2137,56720,58902
4119911,21653840,0,1,53,2969,76725,79748
2000000,12700000,0,1,16,1825,43145,44987
3800000,21000000,1,1,52,3861,96085,100000
12984966,17691440,0,2,63,3932,92543,96540
11252974,24274362,0,0,49,3983,98131,102163
8876514,15292574,0,2,39,2944,70834,73819
7379371,22834616,0,1,180,8694,167894,176769
5143862,13726884,0,0,28,2120,54918,57066
3800000,21000000,0,2,74,5536,124563,130175
18448180,19877252,0,2,86,4817,110099,115004
16502197,25558702,0,3,67,4611,117498,122179
14000000,16000000,0,1,75,5187,110947,116210
7369767,23016568,0,1,76,5117,119929,125123
5116445,13446834,0,0,35,2664,65866,68565
3800000,21000000,0,5,49,3107,73656,76817
12950857,17855760,0,1,43,3767,88347,92158
11202778,24615842,0,1,51,3354,85477,88883
8792887,14624300,0,0,29,2686,68529,71244
7361168,23017794,0,2,107,6062,138500,144671
5107726,13357774,0,1,24,1982,51756,53763
3800000,21000000,0,0,37,3837,94613,98487
9370844,15679438,1,2,49,2767,67187,70006
7835827,23838294,0,3,69,5936,141724,147732
5502058,13890368,0,3,40,2742,67960,70745
4142191,21881420,0,1,45,3398,85481,88925
2000000,12700000,0,1,30,2114,56251,58396
7500000,22500000,2,2,89,6618,156964,163675
5341733,13114116,0,0,34,2105,56225,58364
4057861,21020030,0,1,79,4728,106843,111651
2000000,12700000,0,0,26,1716,46615,48357
3807614,22511502,2,5,85,5703,122165,127960
5411352,13494362,0,0,44,3414,77636,81094
4090254,21350910,0,0,189,11196,194358,205743
2000000,12700000,0,3,26,1780,42719,44528
4084955,21296782,1,1,64,4315,108497,112878
2000000,12700000,0,0,25,2020,49657,51702
2627216,22433536,2,3,199,12884,217620,230708
1928401,12716286,0,0,35,2474,61351,63860
2358426,22176036,4,2,176,9436,171380,180998
6645866,12981878,0,0,30,2405,65230,67665
5177188,22099058,0,1,63,3404,86770,90238
1900729,12820042,0,2,71,4714,91154,95941
16543093,23233418,1,1,137,7537,151833,159509
14098451,14181468,0,0,32,2039,51506,53577
12447858,22647176,0,2,55,3667,95861,99585
