Total Number of Appearances,Appearances on Jackpot Winning Tickets,Ball Group/Colour
468,92,1 - 9 (White)
528,92,10 -19 (Blue)
527,81,20 - 29 (Pink)
561,86,30 - 39 (Green)
562,75,40 - 49 (Yellow)
582,66,50 - 59 (Purple)
